不能单一生产，还要考虑一乙醇胺、二乙醇胺的销售平衡。 	效率较低。 							
								
能耗 	蒸汽消耗少，能耗低；设备运行和维护费用较低。 							
安全环保性 	1、反应温度最低可达 20摄氏度，反应压力最低可达常压，安全性好。 2、氨回收量较小，原材料利用率接近 100%。 							
技术含量 	三乙醇胺生产中采用了选择性催化控制技术，技术含量高。 							
生产效率及灵活性 	效率高，无其它联产产品。 							
								
产品大类 	产品系列 	主要用途 						
建筑化学品 	聚羧酸系减水剂聚醚单体 	合成聚羧酸系减水剂，应用于高性能混凝土制造。 						
建筑化学品 	醇胺类 	制备水泥助磨剂的主要成分，应用于水泥生产中提高水泥性能，并可作为混凝土外加剂；还广泛应用于日化洗涤、金属防锈、纺织物防静电、聚合物催化剂、油品加工、眼镜加工、刹车液、防冻液等。 						
聚氨酯原料产品 	硬泡聚醚 	合成聚氨酯硬泡制品，应用于冰箱、冰柜和冷库等冷藏保温、建筑外保温、太阳能热水器、汽车保温材料等。 						
聚氨酯原料产品 	软泡聚醚 	合成聚氨酯软泡制品，应用于床垫、沙发、玩具、服装制鞋、汽车和火车等交通工具座垫等。 						
聚氨酯原料产品 	CASE 聚醚 	CASE 聚醚多元醇系以丙二醇、甘油、环氧化物合成，用于聚氨酯弹性体、粘合剂、涂料、防水涂料、化学灌浆材料、鞋底浆料等。 						
聚氨酯原料产品 	POP 聚醚 	聚合物多元醇以聚醚多元醇、丙烯腈、苯乙烯等合成，适用于制备高回弹软质聚氨酯泡沫塑料、高硬度软泡、自结皮软泡、冷模塑等，下游普遍广泛应用于汽车、高级家私、运动器材、鞋材、玩具等领域。 						
聚氨酯原料产品 	高活性聚醚 	高活性软泡聚醚多元醇系以甘油、环氧化物等合成，适用于制备高回弹聚氨酯泡沫塑料，如汽车、火车、飞机、摩托车、电瓶车、自行车等坐垫、汽车方向盘、仪表盘等。 						
表面活性剂 	脂肪醇聚氧乙烯、聚氧丙烯醚、聚乙二醇等其他系列 	广泛用于日化、工业清洗、纺织、医药、农药、原油开采、橡胶等行业。 						
								
产品 	项目 	2016 年度 	2015 年度 	2014 年度 				
产品 	项目 	2016 年度 	2015 年度 	2014 年度 				
建筑化学品 	销量 	16.29     	  18.81   	  21.75   				
建筑化学品 	产量 	  16.49   	  18.68   	  21.93   				
建筑化学品 	产销率 	98.81% 	100.66% 	99.16% 				
聚氨酯原料产品 	销量 	  9.48   	  7.84   	  10.31   				
聚氨酯原料产品 	产量 	              10.14   	                7.94   	              10.39   				
聚氨酯原料产品 	产销率 	93.44% 	98.63% 	99.21% 				
表面活性剂 	销量 	  3.32   	  2.75   	  0.70   				
表面活性剂 	产量 	                3.38   	2.86   	                0.69   				
表面活性剂 	产销率 	98.48% 	96.04% 	101.45% 				
								
