产品布局 	产品布局 	主要产品 	占 2017 年主营业务收入比例（%） 	占 2016 年主营业务收入比例（%） 	占 2015年主营业务收入比例（%） 			
4 	业务情况 	制造、加工：电子元件主板；通信设备与通信器材销售、安装、维护保养、维修；通讯设备销售、安装、维修；电子元器件销售；电子产品开发、计算机软硬件开发；批发、零售：五金交电、机电设备（除专控）、包装材料、环保设备、电力设备、电子产品（除电子出版物）、仪器仪表、交通设施、交通标志、汽车配件、自动化控制设备、电线电缆、办公用品 	制造、加工：电子元件主板；通信设备与通信器材销售、安装、维护保养、维修；通讯设备销售、安装、维修；电子元器件销售；电子产品开发、计算机软硬件开发；批发、零售：五金交电、机电设备（除专控）、包装材料、环保设备、电力设备、电子产品（除电子出版物）、仪器仪表、交通设施、交通标志、汽车配件、自动化控制设备、电线电缆、办公用品 	制造、加工：电子元件主板；通信设备与通信器材销售、安装、维护保养、维修；通讯设备销售、安装、维修；电子元器件销售；电子产品开发、计算机软硬件开发；批发、零售：五金交电、机电设备（除专控）、包装材料、环保设备、电力设备、电子产品（除电子出版物）、仪器仪表、交通设施、交通标志、汽车配件、自动化控制设备、电线电缆、办公用品 				
5 	名称 	杭州盈光精密机械有限公司 	杭州盈光精密机械有限公司 	杭州盈光精密机械有限公司 				
5 	注册资本 	100 万元 	成立时间 	2013 年 10 月 17 日 				
5 	股东情况 	毛雄青：90.00%；刘小燕：10.00%   	毛雄青：90.00%；刘小燕：10.00%   	毛雄青：90.00%；刘小燕：10.00%   				
5 	业务情况 	生产：机械设备零部件。批发、零售：机械设备及配件，汽车配件，模具配件，五金交电，非金属制品，建筑材料，计算机软硬件，自动化设备 	生产：机械设备零部件。批发、零售：机械设备及配件，汽车配件，模具配件，五金交电，非金属制品，建筑材料，计算机软硬件，自动化设备 	生产：机械设备零部件。批发、零售：机械设备及配件，汽车配件，模具配件，五金交电，非金属制品，建筑材料，计算机软硬件，自动化设备 				
6 	名称 	杭州远特电子有限公司 	杭州远特电子有限公司 	杭州远特电子有限公司 				
6 	注册资本 	60 万元 	成立时间 	2007 年 8 月 2 日 				
6 	股东情况 	梁红钦：70.00%；杨凤英：30.00% 	梁红钦：70.00%；杨凤英：30.00% 	梁红钦：70.00%；杨凤英：30.00% 				
6 	业务情况 	生产加工：电子产品批发零售：电子元器件，五金，机械及配件；服务：电子产品的研发，电子线路板、通信设备的上门维修。其他无需报经审批的一切合法项目。 	生产加工：电子产品批发零售：电子元器件，五金，机械及配件；服务：电子产品的研发，电子线路板、通信设备的上门维修。其他无需报经审批的一切合法项目。 	生产加工：电子产品批发零售：电子元器件，五金，机械及配件；服务：电子产品的研发，电子线路板、通信设备的上门维修。其他无需报经审批的一切合法项目。 				
7 	名称 	杭州余杭远程电控设备厂 	杭州余杭远程电控设备厂 	杭州余杭远程电控设备厂 				
								
企业类型 	个人独资企业 	成立时间 	2003 年 9 月 18 日 					
股东情况 	朱林根：100.00% 	朱林根：100.00% 	朱林根：100.00% 					
业务情况 	钣金加工、控制设备箱柜、小五金的生产；道路交通安全及管制专用设备设计、安装、施工、维修；绿化种植与养护 	钣金加工、控制设备箱柜、小五金的生产；道路交通安全及管制专用设备设计、安装、施工、维修；绿化种植与养护 	钣金加工、控制设备箱柜、小五金的生产；道路交通安全及管制专用设备设计、安装、施工、维修；绿化种植与养护 					
								
劳务外包公司 	劳务外包主要内容 	2017 年 采购金额 	2016 年 采购金额 	2015 年 采购金额 				
江西省聚人人力资源开发有限公司 	除湿器、输电线路视频在线监测、配电线路故障在线监测装置组装 	-  	31.33 	50.06 				
虎牌电务(杭州）有限公司 	智能巡检机器人巡检场地土建施工 	84.63 	1,371.94 	30.00 				
武汉诚耀建筑工程有限公司 	智能巡检机器人巡检场地土建施工 	23.42 	- 	- 				
湖北东泽建筑工程有限公司 	智能巡检机器人巡检场地土建施工 	46.85 	- 	- 				
宜昌市兴旺建筑劳务有限公司 	智能巡检机器人巡检场地土建施工 	119.90 	- 	- 				
杭州杭宏电力承装有限公司 	智能巡检机器人巡检场地土建施工 	1,114.08 	- 	- 				
江西省千源人力资源开发有限公司 	智能除湿器、故障在线监测装置等产品的辅助组装、包装等 	25.33 	- 	- 				
四川和圣建筑劳务有限公司 	户内挂轨式智能巡检机器人安装施工 	66.18 	- 	- 				
								
项目 	2017 年 	2016 年 	2015 年 					
劳务外包总金额 	1,480.39 	1,403.26 	80.06 					
采购总额 	8,954.85 	11,689.40 	6,676.58 					
劳务外包总金额占采购总额比重 	16.53% 	12.00% 	1.20% 					
								
1 	名称 	江西省聚人人力资源开发有限公司 	江西省聚人人力资源开发有限公司 	江西省聚人人力资源开发有限公司 				
1 	注册资本 	200 万元 	成立时间 	2013 年 10 月 16 日 				
1 	股东情况 	王启强：10.00%；周艳丽 90.00% 	王启强：10.00%；周艳丽 90.00% 	王启强：10.00%；周艳丽 90.00% 				
1 	业务情况 	职业介绍、人事代理、劳务派遣（涉外除外）、人力资源外包、生产线外包、后勤服务、企业管理咨询、培训教育、承办会展（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	职业介绍、人事代理、劳务派遣（涉外除外）、人力资源外包、生产线外包、后勤服务、企业管理咨询、培训教育、承办会展（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	职业介绍、人事代理、劳务派遣（涉外除外）、人力资源外包、生产线外包、后勤服务、企业管理咨询、培训教育、承办会展（依法须经批准的项目，经相关部门批准后方可开展经营活动） 				
2 	名称 	虎牌电务（杭州）有限公司 	虎牌电务（杭州）有限公司 	虎牌电务（杭州）有限公司 				
2 	注册资本 	2,000 万元 	成立时间 	2008 年 8 月 6 日 				
								
股东情况 	虎牌控股集团有限公司：87.50%；杭州虎牌电气股份有限公司：5.00%；浙江虎牌电缆集团有限公司：5.00%；虎牌伊顿开关（杭州）有限公司：2.50% 	虎牌控股集团有限公司：87.50%；杭州虎牌电气股份有限公司：5.00%；浙江虎牌电缆集团有限公司：5.00%；虎牌伊顿开关（杭州）有限公司：2.50% 	虎牌控股集团有限公司：87.50%；杭州虎牌电气股份有限公司：5.00%；浙江虎牌电缆集团有限公司：5.00%；虎牌伊顿开关（杭州）有限公司：2.50% 					
业务情况 	承接（修、试）电力设施（四级），机电设备安装工程专业承包（叁级）（上述经营范围在批准的有效期内方可经营）；光电产品、环保设备、电气设备的技术开发、技术咨询、成果转让；节能技术开发，输配电设备技术开发，文化艺术交流活动策划；成年人的非证书劳动技能培训（涉及前置审批的项目除外）；批发、零售：五金，机电设备。 	承接（修、试）电力设施（四级），机电设备安装工程专业承包（叁级）（上述经营范围在批准的有效期内方可经营）；光电产品、环保设备、电气设备的技术开发、技术咨询、成果转让；节能技术开发，输配电设备技术开发，文化艺术交流活动策划；成年人的非证书劳动技能培训（涉及前置审批的项目除外）；批发、零售：五金，机电设备。 	承接（修、试）电力设施（四级），机电设备安装工程专业承包（叁级）（上述经营范围在批准的有效期内方可经营）；光电产品、环保设备、电气设备的技术开发、技术咨询、成果转让；节能技术开发，输配电设备技术开发，文化艺术交流活动策划；成年人的非证书劳动技能培训（涉及前置审批的项目除外）；批发、零售：五金，机电设备。 					
名称 	武汉诚耀建筑工程有限公司 	武汉诚耀建筑工程有限公司 	武汉诚耀建筑工程有限公司 					
注册资本 	2,000 万元 	成立时间 	2012 年 12 月 13 日 					
股东情况 	张永耀：100.00% 	张永耀：100.00% 	张永耀：100.00% 					
业务情况 	建筑工程、市政工程、土石方工程、给排水工程、装饰工程的设计、施工 	建筑工程、市政工程、土石方工程、给排水工程、装饰工程的设计、施工 	建筑工程、市政工程、土石方工程、给排水工程、装饰工程的设计、施工 					
名称 	湖北东泽建筑工程有限公司 	湖北东泽建筑工程有限公司 	湖北东泽建筑工程有限公司 					
注册资本 	4,000 万元 	成立时间 	2013 年 4 月 25 日 					
股东情况 	王伟胜：90.00%；王丽华：10.00% 	王伟胜：90.00%；王丽华：10.00% 	王伟胜：90.00%；王丽华：10.00% 					
业务情况 	建筑工程、装饰工程、防水工程、电力工程施工；钢结构安装（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	建筑工程、装饰工程、防水工程、电力工程施工；钢结构安装（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	建筑工程、装饰工程、防水工程、电力工程施工；钢结构安装（依法须经批准的项目，经相关部门批准后方可开展经营活动） 					
名称 	宜昌市兴旺建筑劳务有限公司 	宜昌市兴旺建筑劳务有限公司 	宜昌市兴旺建筑劳务有限公司 					
注册资本 	500 万元 	成立时间 	2003 年 1 月 22 日 					
股东情况 	汪海清：5.00%；毛建云：20.40%；汪海蓉：74.60% 	汪海清：5.00%；毛建云：20.40%；汪海蓉：74.60% 	汪海清：5.00%；毛建云：20.40%；汪海蓉：74.60% 					
业务情况 	承包建筑劳务分包工程（凭有效资质经营）；机械设备及建筑周转材料租赁（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	承包建筑劳务分包工程（凭有效资质经营）；机械设备及建筑周转材料租赁（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	承包建筑劳务分包工程（凭有效资质经营）；机械设备及建筑周转材料租赁（依法须经批准的项目，经相关部门批准后方可开展经营活动） 					
名称 	杭州杭宏电力承装有限公司 	杭州杭宏电力承装有限公司 	杭州杭宏电力承装有限公司 					
注册资本 	12,400 万元 	成立时间 	2003 年 8 月 1 日 					
股东情况 	杜高文：65.00%；杜叶鑫：35.00% 	杜高文：65.00%；杜叶鑫：35.00% 	杜高文：65.00%；杜叶鑫：35.00% 					
业务情况 	承装类四级、承修类四级、承试类五级（可以从事 35 千伏以下电压等级电力设施的安装、维修，10 千伏以下电压等级电力设施的试验活动）；施工：电缆土建工程、电力通讯工程，路灯、工业设备安装工程，装饰工程，水利建筑工程，通信工程，土石方工程，中央空调安装工程，网络工程，绿化工程，非开挖工程；安装：配电屏；技术咨询、技术服务：电力技术；服务：脚手架搭设，钢管、电器租赁；设计、制作：国内广告（除新闻媒体及网络广告）；电销售及配套产品销售、检测、维修，水电安装（除电力设施）；机电设备安装；市政园林施工、工业与民用建筑工程施工、打桩；仪器仪表生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	承装类四级、承修类四级、承试类五级（可以从事 35 千伏以下电压等级电力设施的安装、维修，10 千伏以下电压等级电力设施的试验活动）；施工：电缆土建工程、电力通讯工程，路灯、工业设备安装工程，装饰工程，水利建筑工程，通信工程，土石方工程，中央空调安装工程，网络工程，绿化工程，非开挖工程；安装：配电屏；技术咨询、技术服务：电力技术；服务：脚手架搭设，钢管、电器租赁；设计、制作：国内广告（除新闻媒体及网络广告）；电销售及配套产品销售、检测、维修，水电安装（除电力设施）；机电设备安装；市政园林施工、工业与民用建筑工程施工、打桩；仪器仪表生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	承装类四级、承修类四级、承试类五级（可以从事 35 千伏以下电压等级电力设施的安装、维修，10 千伏以下电压等级电力设施的试验活动）；施工：电缆土建工程、电力通讯工程，路灯、工业设备安装工程，装饰工程，水利建筑工程，通信工程，土石方工程，中央空调安装工程，网络工程，绿化工程，非开挖工程；安装：配电屏；技术咨询、技术服务：电力技术；服务：脚手架搭设，钢管、电器租赁；设计、制作：国内广告（除新闻媒体及网络广告）；电销售及配套产品销售、检测、维修，水电安装（除电力设施）；机电设备安装；市政园林施工、工业与民用建筑工程施工、打桩；仪器仪表生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动） 					
								
3 								
4 								
5 								
6 								
								
7 	名称 	江西省千源人力资源开发有限公司 	江西省千源人力资源开发有限公司 	江西省千源人力资源开发有限公司 				
7 	注册资本 	200 万元 	成立时间 	2015 年 8 月 4 日 				
7 	股东情况 	胡世发：50.00%；陈立波：50.00% 	胡世发：50.00%；陈立波：50.00% 	胡世发：50.00%；陈立波：50.00% 				
7 	业务情况 	企业管理咨询、后勤管理、企业生产管理、营销业务外包与承揽、国内劳务派遣、劳务外包、代缴社保、法律咨询、人事代理、委托招聘、职业介绍、人才中介、职业培训、劳动政策咨询（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	企业管理咨询、后勤管理、企业生产管理、营销业务外包与承揽、国内劳务派遣、劳务外包、代缴社保、法律咨询、人事代理、委托招聘、职业介绍、人才中介、职业培训、劳动政策咨询（依法须经批准的项目，经相关部门批准后方可开展经营活动） 	企业管理咨询、后勤管理、企业生产管理、营销业务外包与承揽、国内劳务派遣、劳务外包、代缴社保、法律咨询、人事代理、委托招聘、职业介绍、人才中介、职业培训、劳动政策咨询（依法须经批准的项目，经相关部门批准后方可开展经营活动） 				
8 	名称 	四川和圣建筑劳务有限公司 	四川和圣建筑劳务有限公司 	四川和圣建筑劳务有限公司 				
8 	注册资本 	3,000 万元 	成立时间 	2016 年 7 月 13 日 				
8 	股东情况 	王勇：95.00%；张明霞：5.00% 	王勇：95.00%；张明霞：5.00% 	王勇：95.00%；张明霞：5.00% 				
8 	业务情况 	建筑劳务分包；工程管理服务；模板脚手架工程施工，建筑工程施工，公路工程施工，铁路工程施工，港口与航道工程施工，水利水电工程施工，电力工程施工，矿山工程施工，冶金工程施工，市政公用工程施工，通信工程施工，机电工程施工，预拌混凝土工程施工，电子与智能化工程施工，消防设施工程施工，桥梁工程施工，隧道工程施工，钢结构工程施工，建筑装修装饰工程施工，建筑幕墙工程施工，城市及道路照明工程施工，公路交通工程施工，铁路电务工程施工，铁路铺轨架梁工程施工，铁路电气化工程施工，输变电工程施工，建筑机电安装工程施工，建筑工程技术推广服务。 	建筑劳务分包；工程管理服务；模板脚手架工程施工，建筑工程施工，公路工程施工，铁路工程施工，港口与航道工程施工，水利水电工程施工，电力工程施工，矿山工程施工，冶金工程施工，市政公用工程施工，通信工程施工，机电工程施工，预拌混凝土工程施工，电子与智能化工程施工，消防设施工程施工，桥梁工程施工，隧道工程施工，钢结构工程施工，建筑装修装饰工程施工，建筑幕墙工程施工，城市及道路照明工程施工，公路交通工程施工，铁路电务工程施工，铁路铺轨架梁工程施工，铁路电气化工程施工，输变电工程施工，建筑机电安装工程施工，建筑工程技术推广服务。 	建筑劳务分包；工程管理服务；模板脚手架工程施工，建筑工程施工，公路工程施工，铁路工程施工，港口与航道工程施工，水利水电工程施工，电力工程施工，矿山工程施工，冶金工程施工，市政公用工程施工，通信工程施工，机电工程施工，预拌混凝土工程施工，电子与智能化工程施工，消防设施工程施工，桥梁工程施工，隧道工程施工，钢结构工程施工，建筑装修装饰工程施工，建筑幕墙工程施工，城市及道路照明工程施工，公路交通工程施工，铁路电务工程施工，铁路铺轨架梁工程施工，铁路电气化工程施工，输变电工程施工，建筑机电安装工程施工，建筑工程技术推广服务。 				
								
类别 	原值 	账面净值 	成新率 					
房屋及建筑物 	284.28 	238.69 	83.96% 					
房屋及建筑物 	284.28 	238.69 	83.96% 					
通用设备 	599.49 	324.31 	54.10% 					
通用设备 	599.49 	324.31 	54.10% 					
专用设备 	1,290.20 	739.26 	57.30% 					
专用设备 	1,290.20 	739.26 	57.30% 					
运输工具 	771.91 	294.78 	38.19% 					
运输工具 	771.91 	294.78 	38.19% 					
合计 	2,945.88 	1,597.05 	54.21% 					
合计 	2,945.88 	1,597.05 	54.21% 					
								
序号 	设备名称 	原值 	账面净值 	成新率 				
1 	通快数控冲床 	307.69 	244.36 	79.42% 				
2 	通快数控激光切割机 	264.96 	210.42 	79.42% 				
3 	贴片机 	77.95 	3.90 	5.00% 				
4 	通快数控液压折弯机（TruBend1100） 	72.65 	57.70 	79.42% 				
5 	高低温交变湿热试验室 	50.85 	19.99 	39.31% 				
6 	通快数控液压折弯机（TruBend1066） 	38.46 	30.54 	79.41% 				
7 	双组份自动灌胶机 	10.26 	1.60 	15.59% 				
8 	电动单梁起重机 	9.23 	0.46 	4.98% 				
9 	母线加工机 	7.56 	0.38 	5.03% 				
10 	传感器老化装置（三） 	7.49 	0.37 	4.94% 				
11 	传感器老化装置（二） 	7.37 	0.37 	5.02% 				
12 	扬力剪板机 	6.92 	1.81 	26.16% 				
13 	叉车 	6.28 	0.31 	4.94% 				
14 	滑片式空压机 	6.24 	2.29 	36.70% 				
15 	传感器老化装置（一） 	5.88 	0.29 	4.93% 				
								
序号 	房屋所有权证号 	位置 	面积（㎡） 	是否抵押 				
1 	余房权证余移字第15381846 号 	杭州市余杭区余杭街道恒腾悦湖花苑 2 幢 2 单元 1101 室 	89.83 	否 				
2 	余房权证余移字第15381845 号 	杭州市余杭区余杭街道恒腾悦湖花苑 2 幢 2 单元 1102 室 	89.91 	否 				
3 	余房权证余移字第15381847 号 	杭州市余杭区余杭街道恒腾悦湖花苑 2 幢 2 单元 1001 室 	89.83 	否 				
								
序号 	承租方 	出租方 	坐落 	租赁期限 	面积 （㎡） 	金额 （元/年） 	用途 	
1 	申昊科技 	杭州火红电子有限公司 	杭州市余杭区仓前镇朱庙村仓前厂区内的调度楼3 楼 	2016.12.01- 2019.11.30 	588.00 	204,624 	办公 	
2 	申昊科技 	杭州火红电子有限公司 	杭州市余杭区仓前镇朱庙村仓前厂区内的调度楼1 楼、钢结构厂房 	2018.01.20- 2019.12.31 	3,274.00 	1,673,014 	生产车间 	
3 	申昊科技 	杭州火红电子有限公司 	杭州市余杭区仓前镇朱庙村仓前厂区内的调度楼2 楼、5 楼、6 楼 	2018.01.20- 2019.12.31 	1,158.00 	591,738 	办公 	
4 	申昊科技 	杭州火红电子有限公司 	杭州市余杭区仓前镇朱庙村仓前厂区内的钢结构厂房 	2017.10.13- 2019.10.12 	328.00 	316,674 	生产车间 	
5 	申昊科技 	杭州未来科技城资产管理有限公司 	杭州市余杭区仓前工业园区 	2013.09.15- 2018.09.14 	9,530.40 	1,715,472 	办公、生产车间 	
6 	申昊科技 	北京世纪星空影业投资有限公司 	北京市丰台区南四环西路 186 号汉威国际广场四区 8 号楼 9 层25-28 室 	2017.06.23- 2020.06.22 	531.80 	1,455,834 	办公 	
7 	申昊科技 	崔素敏 	北京市海淀区中关村南大街 17 号3 楼 2212 室 	2017.09.26- 2018.09.30 	133.56 	316,872 	办公 	
8 	申昊科技 	北京爱家营企业管理有限公司 	北京市恒富中街1 号 2 号院 3 号楼806 	2017.11.20- 2018.11.19 	135.00 	86,400 	住宅 	
9 	申昊科技 	张水萍 	北京市丰台区怡海花园恒泰 5 号楼 1405 	2017.08.01- 2018.08.01 	138.19 	96,000 	住宅 	
10 	晟冠科技 	杭州火红电子有限公司 	余杭区仓前镇朱庙村仓前厂区内的调度楼 4 楼 	2018.01.20- 2019.12.31 	588.00 	300,468 	办公 	
11 	申宁达智能 	南京软件园经济发展有限公司 	南京江北新区星火路 11 号动漫大厦 A 座 601、602室 	2017.09.01- 2018.08.31 	215.00 	92,880 	办公 	
								
南京江北新区星火路 11 号动漫大厦 A 座 603、604、605、606 室 	2017.04.01- 2018.05.31 	608.00 	262,656 	办公 				
								
证书号码 	位置 	地类 （用途） 	使用权类型 	面积 （m2） 	终止日期 	抵押与否 		
浙（ 2016）余杭区不动产权第 0018567号 	余杭区仓前街道永乐村 	工业用地 	出让 	9,932.70 	2066.08.22 	否 		
								
软件名称 	账面原值 	账面净值 						
Solidworks Standard 2014 简体中文版 	40.17 	27.78 						
SQLSvrEntCore 2014 CHNS OLP 4Lic NL CoreLic Qlfd 	30.34 	20.99 						
Altium Designer 软件 	14.19 	10.40 						
VSUltwMSDN ALNG LicSAPk OLP NLQlfd 	11.62 	8.04 						
AUTOCAD 2015 中文标准版 	8.46 	5.85 						
Autodesk Product Design Suite Premium2016（中文单机版） 	7.69 	5.90 						
Solidworks Professional 2014 简体中文版 	5.81 	4.02 						
Altium Designer Custom Board Implementation17(单机版） 	21.73 	20.83 						
								
序号 	注册商标 	所有者 	取得方式 	编号 	核定使用商品 	有效期限 		
1 	 	申昊 科技 	原始取得 	4630658 	第 9 类：车辆测速器；材料检验仪器和机器；测量器械和仪器；量坡仪；测程器（测量仪器）；电池充电器；蓄电池（截止） 	2008.02.21 - 2028.02.20 		
2 	 	申昊 科技 	原始取得 	4630659 	第 42 类：技术项目研究；质量检测；材料测试；车辆性能检测；计算机编程；计算机软件设计；计算机软件升级；计算机硬件咨询；计算机软件的安装；造型（工业品外观设计）（截止） 	2008.12.14 - 2018.12.13 		
								
序号 	专利类型 	所有权人 	专利号 	专利名称 	专利申请日 	取得方式 		
1 	发明专利 	发行人 	ZL201410677883.X 	一种惯性导航系统的误差校正方法 	2014.11.24 	原始取得 		
2 	发明专利 	发行人 	ZL201510043375.0 	GIS 局放在线监测系统 	2015.01.28 	原始取得 		
3 	实用新型 	发行人 	ZL201020678480.4 	变压器油检测中用的气体浓度标定装置 	2010.12.24 	原始取得 		
4 	实用新型 	发行人 	ZL201020678302.1 	变压器油的滤水装置 	2010.12.24 	原始取得 		
5 	实用新型 	发行人 	ZL201020678477.2 	变压器油的油气分离装置 	2010.12.24 	原始取得 		
6 	实用新型 	发行人 	ZL201020678478.7 	一种变压器油的油气分离装置 	2010.12.24 	原始取得 		
7 	实用新型 	发行人 	ZL201220097083.7 	矿物质油的油气分离装置 	2012.03.15 	原始取得 		
8 	实用新型 	发行人 	ZL201320278871.0 	一种用于变压器油监测的析气装置 	2013.05.21 	原始取得 		
9 	实用新型 	发行人 	ZL201320278802.X 	用于变压器油监测的析气装置 	2013.05.21 	原始取得 		
序号 	专利类型 	所有权人 	专利号 	专利名称 	专利申请日 	取得方式 		
10 	发行人 	ZL201320278916.4 	变压器油中气体监测装置 	2013.05.21 				
11 	发行人 	ZL201320279034.X 	氧化锌避雷器在线监测装置 	2013.05.21 				
12 	发行人 	ZL201320653616.X 	一种用于变压器油中气体的自动标定装置 	2013.10.23 				
13 	发行人 	ZL201420355558.7 	一种标准油样配制装置 	2014.06.30 				
14 	发行人 	ZL201420352333.6 	一种配电线路故障在线监测装置 	2014.06.30 				
15 	发行人 	ZL201420542633.0 	一种避雷器在线监测装置 	2014.09.22 				
16 	发行人 	ZL201420542578.5 	一种带有时钟的避雷器在线监测装置 	2014.09.22 				
17 	发行人 	ZL201420542276.8 	变压器局部放电在线监测装置 	2014.09.22 				
18 	发行人 	ZL201420542577.0 	变压器智能组件柜 	2014.09.22 				
19 	发行人 	ZL201420542564.3 	变压器油析气装置 	2014.09.22 				
20 	发行人 	ZL201420542602.5 	一种新型避雷器在线监测装置 	2014.09.22 				
21 	发行人 	ZL201420542269.8 	具有取油功能的变压器局放在线监测装置 	2014.09.22 				
22 	发行人 	ZL201420542604.4 	工控机老化装置 	2014.9.22 				
23 	发行人 	ZL201420542339.X 	一种用于避雷器监测的复合电流传感器 	2014.09.22 				
24 	发行人 	ZL201420542340.2 	变压器铁芯接地在线监测装置 	2014.09.22 				
25 	发行人 	ZL201420542579.X 	导线温度测量装置 	2014.09.22 				
26 	发行人 	ZL201420542268.3 	传感器老化装置 	2014.09.22 				
27 	发行人 	ZL201420542889.1 	气缸性能测试装置 	2014.09.22 				
28 	发行人 	ZL201420558195.7 	一种电池调节支架 	2014.09.26 				
29 	发行人 	ZL201420570767.3 	新型变压器铁芯接地在线监测装置 	2014.09.30 				
30 	发行人 	ZL201520056835.9 	罩式馈线终端 	2015.01.28 				
31 	发行人 	ZL201520057142.1 	SF6微水密度在线检测装置 	2015.01.28 				
32 	发行人 	ZL201520058164.X 	变压器油中气体在线监测系统 	2015.01.28 				
序号 	专利类型 	所有权人 	专利号 	专利名称 	专利申请日 	取得方式 		
33 	发行人 	ZL201520058114.1 	变压器局放在线监测系统 	2015.01.28 				
34 	发行人 	ZL201520057161.4 	GIS 局部放电在线监测系统 	2015.01.28 				
35 	发行人 	ZL201520058194.0 	智能变电站监控系统 	2015.01.28 				
36 	发行人 	ZL201520063556.5 	一种避雷器在线监测系统 	2015.01.29 				
37 	发行人 	ZL201520063571.X 	一种输电线路视频图像在线监测装置 	2015.01.29 				
38 	发行人 	ZL201520061908.3 	一种配电线路故障在线监测系统 	2015.01.29 				
39 	发行人 	ZL201520061917.2 	一种配电自动化配变终端 	2015.01.29 				
40 	发行人 	ZL201520154171.X 	一种智能变压器温湿度调节系统 	2015.03.18 				
41 	发行人 	ZL201520196850.3 	状态接入控制器 	2015.04.02 				
42 	发行人 	ZL201520855238.2 	充气柜的联锁装置 	2015.10.29 				
43 	发行人 	ZL201520855399.1 	一种充气柜的新型联锁装置 	2015.10.29 				
44 	发行人 	ZL201620005972.4 	一种输电线覆冰监测系统 	2016.01.05 				
45 	发行人 	ZL201620009870.X 	一种红外测温分析系统 	2016.01.05 				
46 	发行人 	ZL201620071279.7 	一种变压器铁芯接地在线监测系统 	2016.01.25 				
47 	发行人 	ZL201620072176.2 	一种变压器管末屏适配器装置 	2016.01.25 				
48 	发行人 	ZL201620076629.9 	一种输电线微气象监测系统 	2016.01.25 				
49 	发行人 	ZL201720135603.1 	一种智能型吸湿器 	2017.02.15 				
50 	发行人 	ZL201621013503.3 	一种巡检机器人 	2016.08.31 				
51 	发行人 	ZL201720459978.3 	一种用于机器人充电的防拉弧保护系统 	2017.04.28 				
52 	申宁达智能 	ZL201621435871.7 	一种智能头盔的无线充电箱 	2016.12.26 				
53 	申宁达智能 	ZL201621435857.7 	一种具有电池防爆功能的智能头盔 	2016.12.26 				
54 	申宁达智能 	ZL201621437134.0 	一种智能头盔 	2016.12.26 				
55 	申宁达智能 	ZL201621437131.7 	一种多功能智能头盔 	2016.12.26 				
序号 	专利类型 	所有权人 	专利号 	专利名称 	专利申请日 	取得方式 		
56 	申宁达智能 	ZL201621437135.5 	一种智能头盔的警报装置 	2016.12.26 				
57 	申宁达智能 	ZL201621436510.4 	一种能够无线充电的智能头盔 	2016.12.26 				
58 	申宁达智能 	ZL201720514985.9 	一种带瞄准功能的智能头盔 	2017.05.10 				
59 	外观设计 	发行人 	ZL201430177897.6 	故障指示器 	2014.06.12 			
60 	外观设计 	发行人 	ZL201430232892.9 	GIS 局部放电在线监测装置 	2014.07.11 			
61 	外观设计 	发行人 	ZL201430232884.4 	配电自动化馈线终端（罩式） 	2014.07.11 			
62 	外观设计 	发行人 	ZL201430232853.9 	避雷器在线监测装置（电压型） 	2014.07.11 			
63 	外观设计 	发行人 	ZL201430232864.7 	SF6 气体微水密度在线监测装置 	2014.07.11 			
64 	外观设计 	发行人 	ZL201430232878.9 	避雷器在线监测装置（三相共体型） 	2014.07.11 			
65 	外观设计 	发行人 	ZL201430232879.3 	输电线路导线温度在线监测装置 	2014.07.11 			
66 	外观设计 	发行人 	ZL201430232880.6 	变压器铁芯接地在线监测装置 	2014.07.11 			
67 	外观设计 	发行人 	ZL201430232881.0 	避雷器在线监测装置 	2014.07.11 			
68 	外观设计 	发行人 	ZL201430232885.9 	配电线路故障在线监测装置 	2014.07.11 			
69 	外观设计 	发行人 	ZL201430232890.X 	避雷器在线监测装置（系统集成型） 	2014.07.11 			
70 	外观设计 	发行人 	ZL201430232893.3 	输电线路图像在线监测装置 	2014.07.11 			
71 	外观设计 	发行人 	ZL201430232895.2 	避雷器在线监测装置（电流型） 	2014.07.11 			
72 	外观设计 	发行人 	ZL201430232903.3 	输电线路气象在线监测装置 	2014.07.11 			
73 	外观设计 	发行人 	ZL201430232907.1 	导线温度传感器 	2014.07.11 			
74 	外观设计 	发行人 	ZL201430232886.3 	配电自动化配变终端 	2014.07.11 			
75 	外观设计 	发行人 	ZL201430232908.6 	配电自动化馈线终端（箱式） 	2014.07.11 			
76 	外观设计 	发行人 	ZL201430224573.3 	标准油样配制箱（SS0C-2000） 	2014.07.07 			
77 	外观设计 	发行人 	ZL201430232873.6 	配电自动化站所终端 	2014.07.11 			
序号 	专利类型 	所有权人 	专利号 	专利名称 	专利申请日 	取得方式 		
78 	发行人 	ZL201430351315.1 	配电自动化站所终端 	2014.09.22 				
79 	发行人 	ZL201430361194.9 	配电自动化监控箱 	2014.09.26 				
