产品布局 	产品布局 	主要产品 	占 2017 年主营业务收入比例（%） 	占 2016 年主营业务收入比例（%） 	占 2015年主营业务收入比例（%） 			
4 	亿嘉和 	成立于 1999 年，主要从事智能机器人的研发、制造和推广应用 	资产总额3.00 亿元 	巡检机器人产量277 台 	巡检机器人销售收入1.74 亿元 	营业收入2.62 亿元，扣除非经常性损益后归属母公司股东的净利润0.71 亿元 		
5 	大立科技 	成立于 1984 年，股票代码 002214，从事红外热像仪系列产品、安防监控产品的研发、生产和销售，其变电站智能巡检机器人产品于 2016 年底开始进入市场 	资产总额12.50 亿元 	巡检机器人产量无公开资料 	2016 年 12月变电站智能巡检机器人首次中标国家电网项目，合同总金额为1,894.05 万元 	营业收入3.39 亿元，净利润 0.33亿元 		
								
序号 	公司名称 	概况 	资产规模 	生产规模 	销售规模 	经营状况 		
1 	北京科锐 	成立于 1993 年，股票代码 002350，从事12kV 配电及控制设备制造领域，主要产品有环网柜、箱式变电站、永磁机构真空开关设备、故障指示器、重合器及其他配电 及自 动 化控 制 设备 	资产总额23.48 亿元 	配电及控制设备产量 423,780台 	配电及控制设备销售收入17.70亿元 	营 业 收 入17.77 亿元，净利润 0.83亿元 		
								
2 	双杰电气 	成立于 2002 年，股票代码 300444，从事配 电及 控 制设 备 的研发、生产和销售业务 ，主 要 产品 包 括12kV 及以下环网柜、箱式变电站、柱上开关、高低压成套开关柜、配网自动化监控系 统及 其 它配 电 及自动化控制设备 	资产总额16.85 亿元 	输配电设备产品产量 19,252台 	输配电设备产品销售收入9.68 亿元 	营业收入 9.98亿元，净利润0.99 亿元 		
3 	东方电子 	成立于 1994 年，股票代码 000682，从事电 力系 统 自动 化 系统、信息管理及电费计 量系 统 和电 子 设备 及系 统 集成 等 业务 	资产总额34.07 亿元 	电力自动化产品产量无公开资料 	电力自动化系统销售收入20.64亿元 	营 业 收 入23.72 亿元，净利润 1.48亿元 		
4 	积成电子 	成立于 2000 年，股票代码 002339，从事电 力自 动 化产 品 的研发、生产、销售和服务，主要包括电网调度自动化系统、变电站自动化系统、配网 自动 化 系统 以 及电 能信 息 采集 与 管理系统系列产品 	资产总额29.20 亿元 	电力自动化产品产量 267,499台 	电力自动化产品销售收入11.30 亿元 	营 业 收 入14.22 亿元，净利润 1.04亿元 		
								
报告期间 	订单金额 	订单金额 	订单金额 	订单金额 				
报告期间 	投标 	竞争性谈判 	其他 	合计 				
2017 年 	7,590.45 	16,534.84 	448.21 	24,573.49 				
2016 年 	11,240.89 	2,629.23 	56.30 	13,926.42 				
2015 年 	10,052.94 	14,215.86 	1,052.21 	25,321.01 				
								
年度 	大类 	细分类别 	固定产能类别 	产能 [注 1] 	标准产量 [注 2] 	产量 	产能利用率 	
2017年 	输变电监测设备 	变电监测设备 	智能巡检机器人 	144 	161 	195 	111.81% 	
2017年 	输变电监测设备 	变电监测设备 	油色谱 	200 	- 	123 	61.50% 	
2017年 	输变电监测设备 	变电监测设备 	智能除湿器 	1,200 	107 	6,181 	112.50% 	
2017年 	输变电监测设备 	变电监测设备 	其它变电监测设备 	1,200 	163 	44 	112.50% 	
2017年 	输变电监测设备 	输电监测设备 	输电监测设备 	1,200 	209 	984 	112.50% 	
2017年 	配电及自动化控制设备 	其他配电及自动化控制设备 	其他配电及自动化控制设备 	1,200 	4 	3 	112.50% 	
2017年 	配电及自动化控制设备 	故障在线监测装置 	故障在线监测装置 	1,200 	867 	23,337 	112.50% 	
2017年 	配电及自动化控制设备 	环网柜类 	环网柜类 	1,000 	568 	412 	56.80% 	
2016年 	输变电监测设备 	变电监测设备 	智能巡检机器人 	144 	- 	150 	104.17% 	
